Title,Description,Acceptance Criteria
HU-AP-003: Gestión de Productos,"Como aliado comercial quiero gestionar mi inventario de productos para vender a través de la plataforma","- Dado que agrego un producto, cuando subo imágenes y detalles, entonces queda disponible en la tienda
- Dado que gestiono stock, cuando se agota, entonces se marca automáticamente como no disponible
- Dado que actualizo precios, cuando los cambio, entonces se reflejan inmediatamente en la tienda
- Dado que recibo pedidos, cuando los proceso, entonces puedo cambiar el estado de entrega"
HU-AP-004: Agenda y Reservas,"Como proveedor de servicios quiero gestionar mi agenda de citas para organizar mi tiempo eficientemente","- Dado que configuro horarios, cuando establezco disponibilidad, entonces los clientes ven solo horarios libres
- Dado que recibo una reserva, cuando la reviso, entonces puedo confirmarla o rechazarla
- Dado que confirmo una cita, cuando lo hago, entonces se notifica automáticamente al cliente
- Dado que completo un servicio, cuando lo marco, entonces el cliente puede dejar una reseña"
HU-AP-005: Gestión de Pedidos,"Como aliado comercial quiero gestionar pedidos de productos para cumplir con las ventas eficientemente","- Dado que recibo un pedido, cuando lo reviso, entonces veo todos los detalles del cliente y productos
- Dado que proceso un pedido, cuando cambio el estado, entonces se notifica automáticamente al cliente
- Dado que gestiono envíos, cuando marco como enviado, entonces el cliente recibe información de seguimiento
- Dado que completo la entrega, cuando se confirma, entonces se libera el pago con split automático"
HU-AP-006: Adopciones (Refugios),"Como refugio de mascotas quiero gestionar adopciones para encontrar hogares responsables para las mascotas","- Dado que publico una mascota, cuando completo el perfil, entonces incluyo información completa de salud y comportamiento
- Dado que recibo consultas, cuando alguien se interesa, entonces puedo chatear para evaluar al candidato
- Dado que gestiono el proceso, cuando evalúo candidatos, entonces puedo llevar seguimiento hasta la adopción
- Dado que completo adopción, cuando se entrega, entonces marco la mascota como adoptada exitosamente"
HU-AP-007: Configuración de Mercado Pago,"Como aliado comercial quiero configurar Mercado Pago para recibir pagos con split automático de comisiones","- Dado que configuro MP, cuando ingreso credenciales, entonces el sistema las valida antes de guardar
- Dado que proceso un pago, cuando se completa, entonces recibo automáticamente 95% del monto
- Dado que hay una venta, cuando se procesa, entonces DogCatiFy retiene automáticamente 5% de comisión
- Dado que reviso configuración, cuando accedo, entonces puedo ver el estado de conexión y estadísticas"
HU-AP-008: Inteligencia de Negocio,"Como aliado comercial quiero acceder a insights de mi negocio para tomar decisiones informadas y crecer","- Dado que accedo a insights, cuando reviso datos, entonces veo estadísticas del mercado local
- Dado que analizo demanda, cuando consulto métricas, entonces veo servicios más solicitados y horarios pico
- Dado que busco oportunidades, cuando reviso recomendaciones, entonces recibo sugerencias personalizadas
- Dado que comparo rendimiento, cuando veo ranking, entonces conozco mi posición vs competidores"
HU-AD-001: Gestión de Solicitudes,"Como administrador del sistema quiero gestionar solicitudes de aliados para mantener la calidad de la plataforma","- Dado que hay solicitudes pendientes, cuando accedo al panel, entonces veo todas con detalles completos
- Dado que reviso una solicitud, cuando tomo decisión, entonces puedo aprobar o rechazar con comentarios
- Dado que proceso solicitudes, cuando cambio estado, entonces se envía notificación automática al solicitante
- Dado que apruebo un aliado, cuando se activa, entonces puede acceder inmediatamente a funcionalidades"
HU-AD-002: Moderación de Contenido,"Como administrador quiero moderar contenido de la plataforma para mantener un ambiente seguro y apropiado","- Dado que hay contenido reportado, cuando accedo a moderación, entonces puedo revisar y tomar acciones
- Dado que hay usuarios problemáticos, cuando los reviso, entonces puedo suspender o eliminar cuentas
- Dado que usuarios contribuyen lugares, cuando los reviso, entonces puedo aprobar o rechazar lugares pet-friendly
- Dado que modero contenido, cuando tomo acción, entonces se notifica automáticamente a los usuarios afectados"
HU-AD-003: Sistema de Promociones,"Como administrador quiero gestionar promociones en la plataforma para impulsar el engagement y apoyar a los aliados","- Dado que creo promociones, cuando las configuro, entonces puedo establecer imagen, texto, enlaces y audiencia
- Dado que programo promociones, cuando las activo, entonces se muestran automáticamente en el feed según fechas
- Dado que analizo rendimiento, cuando reviso métricas, entonces veo vistas, clics y engagement en tiempo real
- Dado que gestiono promociones, cuando las edito, entonces los cambios se reflejan inmediatamente"
HU-AD-004: Configuraciones del Sistema,"Como administrador quiero configurar parámetros del sistema para mantener la plataforma funcionando óptimamente","- Dado que configuro MP marketplace, cuando establezco credenciales, entonces se habilitan pagos con split automático
- Dado que ajusto parámetros, cuando modifico configuraciones, entonces se aplican inmediatamente en todo el sistema
- Dado que monitoreo sistema, cuando reviso métricas, entonces veo estadísticas generales y salud del sistema
- Dado que gestiono configuraciones, cuando las cambio, entonces se mantiene log de auditoría de cambios"
